keyword,title,price,rating,reviews,platform,delivery,thumbnail
Smart Phone,Apple iPhone 16,69900.0,4.5,12000,Apple,Free Delivery,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRHFrcv-tueBOzHlzuLm_lqZQT_TwI4vT9P65_9hnAe_wPaJ0hLyx9th7LNWL_9qf69EZTZ6QbPQ9Wh5gMomF8hPGPwNUazgdwY5DQXxWT3MwQpVTe3KXrO3uhk
Smart Phone,Realme Narzo 80 Lite Battery,12999.0,4.7,144,Amazon,Free Delivery,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcTEn3Rr3lUKYPTyCoaGSIl2nR4PqnnVRail2C-WfbOcBGCmE6mdUVddU6-buby6Y7Yhx3_-nVcxM70M58OTNwUWmdDI8bJzyBk--AkDTEJrPgQS81WOKRZ5FQ
Smart Phone,Google Pixel 10a 5G,55999.0,4.6,1300,Google Store,Free Delivery,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSZtoR8RVCqemIrtGqS6a8MFGnaMoteIG1UF_3ZH6dktZX_zQm0JYzYxYTUg62SuocK-rIuCvphnL-oHJ4x2qjNo0H9epSzVd0Zzh2Mmva6FFz0OW9iPDTD
Smart Phone,Nothing Phone 4b 5G,34999.0,4.7,144,Vijay Sales,Free next-day Delivery,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcSYOYIjHT-xVLFzKVj_GM1AEDdDcitJm_j8SY0I2mQJLUah_2ztM0AmmrZvVvhRRXTxbvmDdzKf9HJxaC-SnctnpTTpHEhLZ_PmmflrpGUsJH_MXez2zDaC3A
Smart Phone,Google Pixel 9a 5G Smartphone,48650.0,5.0,3,Amazon,Free Delivery,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcRH9O9hEpaw_m5PpKCMS4KHtf0q3v6dxWAfZ8kNeUxHi0MM_0n_iEOfgP9GDzGXICWkLHnn1M6_5fGW23NxBf_21_MsXphiMmUODGpEErWyu5o_t0-LZmTYpw
Smart Phone,Vivo Y21 5G Mobile Phone,23999.0,4.9,161,Darling Retail,Free Delivery,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQG5QOlY9db5xTM1fZmlML_sP7sBsUlVLm2e9tbxWLnjhfkqUgMMqljj4BJRedqbBUailpNnzcc_p2RiQiRjOd14KDo70WX7JiyfqlzdI1e1y6q6L4aexu2
Smart Phone,Samsung Galaxy A27 5G Smartphone,31999.0,4.7,1100,Samsung,Free Delivery by Sat,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcRbldJvkcMUW6KwZnz-gmtzaYQdW1FYYFI0hoFP40Oo4kwScfLXjQSp_kZvXu5oCozPsfxu5u-1C-hHC7yJCIjc0S0p5EoR
Smart Phone,Motorola G06 Power 64GB Pantone Laurel Oak,13749.0,5.0,2,Amazon,Free Delivery,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSTib0e8MafLoSOKgV44ppDavuk2yryjBE9czD0JSca-TouMjVvyO3aCPuH61uCjzk-0HtTnmrMIRdatlJXrER494hPVFeZe8L_uH00mdfW
Smart Phone,Samsung Galaxy M36 5G Smartphone,21999.0,3.6,45,Reliance,Free Delivery by Sat,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRue2d1a1Ou8f00hr3UuCdjga8MKJl8oKu4Gr3rhT_XdYCRMHsOIPg6tLHAk37Ij63rEeTIIxoPOwCZpTGfr_Xmo5tHQazgyyNkMQXiATmDK7qSW7ONNx8N
Smart Phone,Redmi A7 Sky Blue 3GB RAM 64GB Storage,12499.0,4.7,144,Amazon,Free Delivery,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcTwcR9imgrw_1TDnldup8kEnc4sDDimAHaSryrLANO5vRZB1iFl43tKP5wPjtIZIXj-2VxaOjw3FxYgMviAC2Mm4K805UWRQf6xfG4ZE_85EijNDmArIIyn
Smart Phone,Realme 15x 5G,25999.0,4.0,1,Croma,Free Delivery,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQmisVr-hRPvo-shKEDeEYtH5ys5YEnfK92Xy2GE1iRBkTcAaRvCXsFF425OnEx4z_oAhMfXa4KFU2prpSrP-74G97iTmpCorLA0WQeZAfDYK_ugKxktjna
Smart Phone,Samsung Galaxy M17e 5G Smartphone,15499.0,4.2,15,Samsung,Free Delivery by Sat,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTJQlec-CgtzYztvSBGrPQIffOKlFOncFMJDTz4-UQk4bSgLvtPNuKbCsH-uQvjcBCf05SgTNhhTR3s0FKReSdPb0BU7cSsQw
Smart Phone,"PEACE NOVA 16 Pro 4G Smartphone with 6.56-inch Display, Android 14, 4GB RAM, 64GB Storage, 20MP Camera, 5000mAh Battery (Silver)",9999.0,4.7,144,Amazon,Free Delivery,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSQhehieE_gJKxm8ol_N-n-ZaJBL6cTC3RxfBqf0WjgT0Aoc0VP-Bi6J3ymu3aWHEefsX3FU7ZwDs8BXKT01jzq9Fyej2PRw7igN0ExQ1uB-u34CdkeZzQR
Smart Phone,Nothing Phone Lite 5G,27999.0,4.0,2,Vijay Sales,Free next-day Delivery,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSWMl3hua62ZMfCjEdnk-tjP3PMFrwlUbNYuz5uwtCgsvpn-y2gITDQNVveu4iNjXgbAKtENs_eJhG2ninOHkX78sgKCQlJvQkOWj4bTNnCaU7aE63VB3kx
Smart Phone,Motorola G57 Power 128GB Advanced Smartphone,20790.0,4.7,144,Amazon,Free Delivery,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRz1r13QcDtZj7XQED0mLoVpRVq6pQktPvEcCvPTdZcwaJOI6k54NCT5EJaxuT--6jjskkGBXFtbjWi0uAzGqWqJZoQw9tg8zRcs1r9WriHk6tNe_Q0rI0-GA
Smart Phone,Oppo Reno16 5G Mobile Phone,66999.0,4.7,144,Reliance,Free Delivery by Sat,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSBho_MPxOcByoCb7hFzY4sPE9bv5CzwXxreMjl52xuct6p4QaTNf-ob2GJNTL90u6eOC_rNI9FtzMu94tFZzB9-vEBZPG3rwOlVxGGFbix5tBk7hq8Ws8y
Smart Phone,Redmi 15C 5G Battery,20499.0,4.4,34,Mi.com,Free Delivery,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcR2B4ICRZp5yN5NguSgIkCdj45Jnj6iGqDXSPpwPG16D9CnhYyCLs6Z9qplqGbNmGM1ACprC0FywdwoJRuKQHnPT_M2mZLrKG215JtAqOrrodJy6ycyHQtKEg
Smart Phone,Realme Narzo 80 Lite 4G Mobile Phone,12999.0,4.7,144,Amazon,Free Delivery,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRmhjI-sUe4wadKWy9Ay-NTnz191S-NluqJT1_qhSQKlXCRJ8_FhVASNbJzk5ZLL0MF6BdgLlxDBNSSgLaQDX9sZtL9UbiT4ZQE4sifXvlH_iHWb9CoJ8te
Smart Phone,Samsung Galaxy S25 5G,63000.0,4.7,58000,Digihaat,Free Delivery,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcTGDJYQM9r4pgE1go48O7tdyDnGkWjvjaexZ5QK0GCGyqi2gK4dyFmtr95JX096NVvNUqHSPNjroWnv6hYWEaDKEstz1sFFuQXAmeCVF1egOTJfL_vruSo3Pw
Smart Phone,OnePlus 13s 5G,54499.0,4.5,42,Addmecart,Free Delivery,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcS9_vYKgW_08plmJaDBea6TLVRe3U1gun461BPTZ1Ukw5-Z8ywIAtowTdAQp5Sggku55MmEp2-Gez9kbq1XS-H6RvYhlbyiMw
Smart Phone,Oppo Reno16 5G Mobile Phone,72999.0,4.7,144,Reliance,Free Delivery by Sat,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcS-GRo_Kx8OvpHauBSnsqIeCazJ4UkiHQp7j_eSv6GsqbA1xT30Kly4q1qAC5HEufNv_5cXaS0abaGar1Qah1JZijEnk7cFNySbKUJt4swNeOoCVXF1MhdtMw
Smart Phone,Realme Narzo 100 Lite 5g,19999.0,4.5,2,Amazon,Free Delivery,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcTMJe2xY99Y7NbR8QXN5AiQJR4CtvNZpPQwZpObqeA66Nv2DAR863BH70PkdAOJ0xXQCSTo39vf19ADcfXIMaZXi4reKD7xyd7Q3QJwfQoOcG2slhYnN_D3
Smart Phone,Realme 16 Pro 5G,39999.0,4.9,767,Croma,Free Delivery,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcTPZiemUV6nTw4ujXwz0sSvGi6hOjgpO2xSy1ABfQQQ3PFDR5GuSN7s2hn6J1s9Q3jWftM6KfWMQOO184-bTYdThaNwD84aLewecoaQa9MgQ7jilTAQc9LM
Smart Phone,Samsung Galaxy A37 5G Smartphone,41949.0,4.8,3500,Mahajan Electronics,Free Delivery,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcTAqsWbBavU3W5qsXZu1p0Sf-L8Cz8C1SM5cY6XJAm2w0lDb9FIqK9pEdGtFyIezua79k0FId8Up8XhxfKY7SeHaTxgL5UxVArckDv7VgU9PJ8NuP2qVnu9
Smart Phone,Acerpure Acerone Liquid Smartphone,8795.0,4.7,144,Amazon,Free Delivery,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTA5DDiDhLKP5Irf_FH2iiRjbYZjAheY_p8VZFRspyfUZQwjNNnNzfKbDBvbevAKalw-Kd6FpY9dUSA4SAa7ds57TnY7Wb1_w
Smart Phone,Itel Zeno 200 4g,9999.0,4.7,144,Amazon,Free Delivery,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcRiZl3Qira2KvOc_qfcbz5lTbHRRmWnSff4rVo9pUPf93zPB6_GevKgq1yf_L9LIr0bbqds1d_EFZ6dxrjvoDkkvX1yB9wZW__cEfoxO9Rcnp9Ago6hFZle
Smart Phone,Samsung Galaxy M47 5G Smartphone,33499.0,4.7,144,Samsung,Free Delivery by Sat,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcShWbvMqOqsaqgRr4SnZDoMTfb7Sr6flTcWu9dzsWBVo14J07VKaI1q3eJ7HXi5AQ5xkZ1m5h88tANFZJVYrg0aiJV1ik85
Smart Phone,Oppo Reno15 5G,45999.0,4.8,7,Cainid.In,Free Delivery,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQQ12FD7j2lMPA3FtFCRhGu5U2Yj-U0G9wQ91xoBq4Rda8GxuTCYkiGR06pWnDPN1xWUKaUWhu5lVjUaF4NoeVTzAbY5a2U86OaMa2E6kdRnAa7u5EJrX29
Smart Phone,Redmi 15C 5G Mobile Phone,20499.0,4.7,144,Mi.com,Free Delivery,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcTvOsgcSk3K48IcwwIiOclU1wJSebOvxfzIxiZUqxcT1Hs-1VI4hALycRH1bHeePiRwEGGKo3lt856glAsDdSwhD31q9pgTg7Iru67HRxH-GnTGfkK96itlhw
Smart Phone,OnePlus Nord 6 5G,46990.0,4.5,19,Nuevo Gadgets,Free Delivery by Wed,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQIgM-WuNrZyVDVxSVr0UQJyz128jGN6zzDCaEZw6J5eZhvuOVK0MPyv0ohzAaqMAqwh71nuOcZ629HflApEPJJotQqsvWM
Smart Phone,Samsung Galaxy S25 5G,65799.0,4.7,58000,Amazon,Free Delivery,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRdt4j8l7shYixFHWrdFBm9CS9lAjnaukymUA6Q0t3W58HBURMSEOyU_K4Opdm7pte9Ugdvl81hnYdRbTIjMIBWlQgzdbc-jKnoxSx7fD8X0qguthObHLLI
Smart Phone,Nothing Phone Lite 5G,27999.0,4.0,2,Reliance,Free Delivery by Sat,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRf8uWJ1IoiG0q3wm_5V3TvshhAW7ucs27nkPMBiBgtzd8vs2h_MyorquiLtS8ZlaiCWZlLHgjb5RN2GcyB32AwY7Nm_848Cif69H0FzntpEKXJ-2LuzZew-A
Smart Phone,Samsung Galaxy A54 5G Smartphone,38999.0,5.0,9,Ss Mobile,Free Delivery,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSjX2PmfUyLcRWEqdN3duYbf4ZyZZtd72kqh-4CTMR-4gOsa9_fSDJNMqi2_1K92OZpAY7fpDgdlcu3pMmYZzctPs1eAUcmfA
Smart Phone,Nothing Phone 3 5G Smarter,49999.0,3.0,1,Amazon,Free Delivery,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcTAK3lm55LCDbn_fS43TNjDmTkfA-Fd9BT4M9HRyDYBIC-oSO-aQZFUYKCABwhTwaGAM4PXYxf2
Smart Phone,Motorola Edge 50 Ultra 5G,34999.0,4.8,368,Motorola India,Free Delivery by Mon,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcTogtvPWGdmtqNDLVwiiUUM9l2WKIYIr2vr5R6-pZWbJ5Wp5vY5yYMePO_vOKjfOoQwfR3pC8Nf
Smart Phone,Realme 15 5G,29999.0,5.0,2,Reliance,Free Delivery by Sat,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSYe3ewZY3Tbfxfwm2QqbvJgLoOsnestC3O3ZkIoU6MK8orutO2wo97d8q_1AL8dUlBCirP_yh1
Smart Phone,Oppo Reno 16c 5G,45988.0,4.7,144,Amazon,Free Delivery,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcS88uQtPB8nygWcL4kDEkAl-Pccas0dLgOU-igMqGbPt1NM0Pee-JHEZKJCiiEa70eE0UFLt7_t
Smart Phone,Apple iPhone 17,82900.0,4.5,8000,Apple,Free Delivery,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRwoZpx33DSVxMF6gdf2jqM41DEDea7VwXySVG8hVnUldgzV9xlqYSE5_wkhbuLIxxB_SvFmuuDRIk
Smart Phone,OnePlus 15R,66999.0,4.6,322,Amazon,Free Delivery,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcTpSEGKfkfzVvkQfvPRJealU4YrEti6SOkhBN8E5YjvPgx-4RwQ0BFtnALVPMoWF5RvRIjWLAZB
Smart Phone,iQOO Z11x 5G,27499.0,4.9,75,Fliptwirls,Free Delivery,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcSfVPjP5VFMaR8PjWKQnVJu9XXaoj8kJYtgZ4-REM0C6dQVkNPm_p1FkWGI6VPLqfZfVIOXrGl6
Smart Phone,Realme P3x 5g,13999.0,4.7,144,Reliance,Free Delivery by Sat,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRqDfFD7DtOhuVJicx4cHdUIDCID3licdn_uvJuM_mbpoWM0b9i13Q8iKtRyvUmlD9BE0dUGCzx
Smart Phone,Redmi 15C 5G Battery,14999.0,4.4,34,Bigbasket.Com,Free 10 min Delivery,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQ4S-XhlDXWbBAjKgSc8bN82T6KpZf_TH1m7Wrxefdl6hk898Kl
Smart Phone,Realme Narzo Power 5G,28199.0,4.7,144,Zepto,Free next-day Delivery,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRzM_zNU107UdGfXQfsyYD2e_kmMVqMUH7JOKmDl548vLteBnaI
Smart Phone,OnePlus Nord 6 5G,46999.0,4.5,19,Reliance,Free Delivery by Sat,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcR9-UjqtpU5kNIuD-9N5dBv7RvueGLHsvVxdEM-yipqmC7bvIfIghFd4Sf2owqHCop4pgKGmOuH
Smart Phone,Nothing Phone 4a 5G,35467.0,4.3,1000,Amazon,Free Delivery,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRum-i1Q6jrE1rGz1VrwJ4XMb4HzTXEoAm7qd5oEHBxOyke09Czs1F4_LJSFw
Smart Phone,Samsung Galaxy Z Fold8 5G,199999.0,4.9,13000,Samsung,Free Delivery,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQJYoBnOVrl0z16Gk-H3Oj9L4cyPnSW7BsulOMo-tX6bGyQAMNzaejMKgtBOG77wGlXA9EUa9E
Smart Phone,Google Pixel 8,37699.0,4.4,2500,Amazon,Free Delivery,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSnTRtM0bT3tfBC-P0zGeafn-mz8lE6xpLy8-uAYY9ENsJ4aVGK
Smart Phone,Nothing Phone Pro 5G,49999.0,4.8,128,Vijay Sales,Free next-day Delivery,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSWYy5FxgFF11nTUSkPHyP08cFLkHYuQY1YfbTvz9_zP62KDrKrrHlfE1fQviPxuAxTdpHI8FW8
Smart Phone,Apple iPhone 17 Pro Max,149900.0,4.5,25000,Reliance,Free Delivery by Sat,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTg4_GAlpmqn1Llq0ECwrcBQ9W5vEwqAGp_qAhX4WfdatAufRolLyRoP13P-OKpdU27A7h0tLA
Smart Phone,Motorola Edge 60 Pro 256GB Pantone Shadow,33799.0,4.4,85,Amazon,Free Delivery,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSRJPu_XKi9It01xznAVgQlcghCDbcb13DfnbdRV7KpZAs-3y87ZMNgpdpIvfE
Smart Phone,Samsung Galaxy Z Fold7 5G,186999.0,4.7,26000,Samsung,Free Delivery by Sat,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQ_pPwKeWZfaBfbQj4tq3C0MAGI8rSjdC1f0pnY-phh6Nk0hy0rxTqnj2C0c5M2Hw57gM5R74o
Smart Phone,Oppo A6x 5G,16499.0,4.7,144,Cayroshop.Com,Free Delivery by Sat,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSH9Biqpbw9VuWQPimHy8HVZiG-XJOoXfKMmhigcNq-D7sDnx2_qZfX49y2CQjYqtOL2iu3bj4
Smart Phone,Samsung Galaxy A36 5G,31390.0,4.7,18000,Amazon,Free Delivery,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQOIkpEBgynzhdUh9MxRdFtRYksjTFFrPC2DEpvfdjHpXJM9ME9LnijkUnHDe4ICPyX4Com95t9
Smart Phone,Infinix Note 60 Pro,39999.0,4.9,639,Digihaat,Free Delivery,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRz1Rn_dJ8xrEd5C-nVT03jvehbZOU1tNnRtEgCAfoLir8LjB_Af8-VPQ7853EQuyYtIhg-NcYU
Smart Phone,Samsung Galaxy S24 Ultra 5g Mobile Phone,119999.0,4.7,82000,Reliance,Free Delivery by Sat,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQ_pQkrqwlqa_i_q-dGYpQ6pfmnAAjNTDQmYpgN96Obs9TZS-BmCIDlzh_m2ya0MbvNPP_Jl-Jx
Smart Phone,Google Pixel 10 5G,66200.0,5.0,3,Amazon,Free Delivery,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcRd_A9CKcjSB1YYvSnJ7w3Yk6mK5GTSYbUDCwyvq9SarFhV4nmnzun92vjoBQxUHEwCny5eLXQh
Smart Phone,Apple iPhone 16 Plus,89900.0,4.6,5100,Apple,Free Delivery,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRcEaaYobdaIfGZyxNrViO-l10_OjuMv-EciKSAQH5sPLDs7OHfkoh4qsrWETLmwk8s_az5QVjidg
