keyword,title,price,raw_price,rating,reviews,platform,position,delivery,link,thumbnail
Ac,Godrej 2024 Model 1.5 Ton 5 Star Split Inverter 5-in-1 Convertible With Heavy Duty Cooling At Extreme Temperature Ac,28890.0,"₹28,890",,,Flipkart,3,Free delivery,,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRlmrzuLaxjv_BE9YM9c73IvZcJDqrHD-6U6gpgQCbBAb2UC80UuC3D7hgbE26eCSng62UdHWBitX3N8c_48P_n8wvlstoeR5wogIIxiJ-syg6voMQvPeal
Ac,ECOMISTIQ Portable Ac for Home Ductless Mini Split Air Conditioner with Remote | Mini Ac for Room Cooling Compatible | Mini Ac Replacement Accessory,3911.0,"₹3,911",,,Amazon.in,4,Free delivery,,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSYl2OXvvCpnfNt1DHGlpdrh7wyZjV3_u__ZRyJNsVnCjYzcpsHWCcSzSp25wh4mdihgort4_PoZme1TpYeIUgO6Huh-BaAu3IgCy19Vo7b2-Yh00tKY898
Ac,MarQ by Flipkart 2025 0.75 ton 3 Star Split Inverter 4-in-1 ConvertibleAC - White (073IPG24WQV2),15867.0,"₹15,867",,,addmecart,5,Free delivery,,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQcp-Y-d_3OCZJFEpynuqfwLRVSMiJ2OeclB1BItMrhZ4U2jY9LI0TnyeY5S6VljP3roXR4wBo-jFekAHqx1E3Xt8pCS8xbPA
Ac,Hitachi 1.5 Ton 3 Star Split AC,17400.0,"₹17,400",,,Tradeindia.com,6,Free delivery,,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRis9WADZHi7GmVrH_YpSDaTD4wbvlIetLONpA0QES14aLvNXLfT42QdMTu-rIa4MmV8WSgMdBW7ERVbeCh2c_7-1sbYhMTcA
Ac,Lloyd Stellar Classic 1.5 Ton 5 Star Inverter Split Air Conditioner,63490.0,"₹63,490",,,Reliance Digital,7,Free delivery by Sat,,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRKf4Sg5sKbB9-jOGgLt8ZjXetfDqu9t9pyjuM88q7kdaFQI59NQbkawMhIW8zKQuwtGuoC9R5w_MJxtNkQTUKwtFvIwIVeI9HtPTP2TJI4Gr_rpK4AatSvqg
Ac,Voltas Adjustable Inverter Split AC,31490.0,"₹31,490",,,Amazon.in,8,Free delivery,,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcR67IrI7KQTdloAkg53ShbeCjKAzS7waruTfk_sSQVxNLMru6EcyUqJj0OaDo22iG5cQ2RUVz_PlNX6ZGOe8xkifOO9l63TIkMGMFOYVrRAy0K0R9xxjKw
Ac,Blue Star 2023 1 Ton 4 Star Split Inverter AC,28625.0,"₹28,625",,,Flipkart,9,Free delivery,,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcT3dP_odZOYo6MEktUoVNZNsI-uJH99QDZ0L2-x7guyUW8t44V3S9JW2-M2-T-EtBaDK0J35oBSlk1YWnUkd4vjEBXVkIBL_M4UrfOZ4Ws
Ac,Godrej 1.5 Ton 3 Star Inverter Split AC,28990.0,"₹28,990",,,Reliance Digital,10,Free delivery by Sat,,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQtZystHWtAGp6YgbS0975aNrXJ8mjA30Wh3cTcF6PE1C0W8zessZuVfZXx4Kt28TYXCtYSf9ZP8bIEH8yXCS3W9PW7QmklvzOSq05dKYz6
Ac,Helium Air Smart Inverter Split AC,22490.0,"₹22,490",,,Amazon.in,11,Free delivery,,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcS4wbBWF1A1ceXAJIBd4E0UYkggY2J0Kd_k7kEd__AFKZ1xp8_J41lCwULhOZG6e4_tmfYaaBjXktht0b5x2HPd5EsOJSr92dAxoY02dURJ1730dMB79HdOMQ
Ac,Daikin MTKL50XV16 1.5 Ton 3 Star Inverter Split AC,37490.0,"₹37,490",,,Flipkart,12,Free delivery,,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQJKD1gNiMe3soqPNjau1aoJns89v_s8H3x6jLKhhK3WMlR64pN02yVB1Mby5jhzWXE_-jsb5dCxDkUjnY_ZrgDI3QlzVfpvUihPwc1ABcrFwXFyshlnDJI
Ac,Croma 7 in 1 Convertible 3 Star Inverter Split AC with 4 Way Auto Swing,34490.0,"₹34,490",4.5,28.0,Croma,13,,,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQUDziYWaa8_7kA_aaszNJm0ivLux7iBM93VC4id14DZ4wFiD8nlS3lpPFHWPLqOf7k3RBSHhLJKY7tKmJV_QnTTcXe0vRH0uY12_-WAM6kevsnV0H3W81V
Ac,Voltas 1.5 Ton 3 Star Split AC,24600.0,"₹24,600",,,Tradeindia.com,14,Free delivery,,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQ27mOreb2iRhF-x-taAHsHcnowNmSUkAN46TyWmdWLhg_TgzIW-ukhC2jj8R_Ea7qTm6KKOKzaJUdt3uPTYzTTUU_IcQM4iw
Ac,O General Advance Hyper Tropical 2 Ton 3 Star Inverter Split AC 2026,62990.0,"₹62,990",,,Amazon.in,15,Free delivery,,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcTkiJ-mzgz4OXYN9BSFBGvQUQAsVIvP75Bwfqi3tKuJXvd-lxUEcdr33VK4_LaDV_8yhREiOxWLYENIsric_PbCMHAN01Ar1UFnxK94drKEbLaMdXuXNCMVPw
Ac,Voltas 1.5 Ton 3 Star Inverter Split Air Conditioner,35990.0,"₹35,990",,,Reliance Digital,16,Free delivery by Sat,,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQwHVG3UrIIWnvQWARFfNJB81yCgRwifm8At2psZ-fWctQ93XWqR43SqpeK6RCVHtyEbw2-jPlFSwEZdvRibdd4YWX_TSG2qukREV5sUm-hNlg-2aeJ-blk
Ac,Blue Star 1 Ton Portable AC,33000.0,"₹33,000",4.0,2.0,Aajjo.com,17,Free delivery,,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcRmh8zxlLPWihNKMTnFDkn3qJrWWwGs9b7dXikom8DyC_8RknKyYcxbmWWbu1SukXUfjUsyIjS6NwlrE7ibMI8pc7nGK3_wbQ
Ac,Godrej 2025 Model 1.5 Ton 5 Star Split Inverter AC,35000.0,"₹35,000",,,Flipkart,18,Free delivery,,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQ2s40fZdwIlJOrydfOY5B-rxLLuriu1GVkgQxjxlPpSCcRKRCTLGcPpbAqshOcVpDW3AWfNQGyt3YCRLioHXhNa1FW5guhRyvrAJLYXR0
Ac,Panasonic CS White 1.5 Tons Star Inverter Split AC,47950.0,"₹47,950",,,amazon.in,19,,,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcTAuQDO0fan5LQpxEuDsU9Y5Tw5qWuP0EmFH81UDzGfjyUa8zpak-ml00kFrzftndyky1YHcGlW8YCynbmWCLYilsepCHQJTDG0xsNBN0FW4P165AzpfFielg
Ac,Voltas Split Air Conditioner,26399.0,"₹26,399",5.0,5.0,Fliptwirls,20,Free delivery,,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQelPx9dmQMAdcftHjfUdViRoOp_c5wPbcNunvofkQXzjGk5_2ynE0dv3FJaeycWz7PRBVydBsZSpmmYlc8pAQNkc_KEYw7FzuPzDgOO4ehNV8e-sHNlREK
Ac,Samsung 1.5 Ton 5 Star Split Inverter,37990.0,"₹37,990",,,Reliance Digital,21,Free delivery by Sat,,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcRm5612bn0-0tz_fE4D0d7dG7suCkX-C8w8TB3hzmfBHa58AypeTHupp-rQLQlGZlPa2H_Ce3bf5oCP-W5GR0IboDtj9FLALuCcOEA8dLwD_Wn_xzoZm2xB
Ac,Carrier 1.5 Ton 3 Star Split Inverter AC,32990.0,"₹32,990",,,Flipkart,22,Free delivery,,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcTmSb-bP1-BaOvxeVCljdZR7WaRx5IUqaTUvA3ofCYzUUZvUqmH5F8J5Y6v9l0kyXSJuE8ll431TgG6JPdSFV-mV-IGoZxHRYSbyeslVKpHS7wo5Sv4zU79
Ac,Voltas 1.5 Ton 5 Star Inverter Split Air Conditioner,28000.0,"₹28,000",,,Tradeindia.com,23,Free delivery,,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTwRQR0Rl3kn8TZm0fnsZz_76G3rBUd1K170NWfk6632U7sTkn2DqPuBlafv2mE-M0R5ub5_Wm2ZHWC99t2LgLp9RH_aBTKJQ
Ac,GENERAL 1.5Ton BEE 2026 Inverter Split AC,49990.0,"₹49,990",,,Amazon.in,24,Free delivery,,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQX26eiAmCUpkYV5RSkcZ6MW5POlrXZskKH8mhzvfKhRpHlUWTb0LNqTgb01aqA-IWrjACiLrdcqw6k0UFk7SZE_OLp9-METp13pxmcKiyirbbGBXkSb7SN
Ac,Godrej 2025 Model 3 Star Split Inverter 5-in-1-convertible Cooling Heavy Duty Cooling At Extreme Temperature Ac,27999.0,"₹27,999",,,addmecart,25,Free delivery,,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSkyzUxAVff-gAOYJmFuQ5D-EZ24_4DhR1B9sKojvc95nMMvzJcIRW6kTwPaskSRkhRbn9jofNd2zpweiw5BZUdQZdbTZEi
Ac,IFB 1.5 Ton 3 Star Inverter Split AC,33099.0,"₹33,099",,,Flipkart,26,Free delivery,,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcTxeX6NweQ5PLz6q5ZIOavNu8sCzHO4roC-cT7Sm5wsTeTt9QWpgF_njv3tWUDnyqZslgYQ9laZc8tJAPve4atXbtRFYZn2GqkMMPieec3n5MBW7jJdYdOv
